,age,type_employer,education,education_num,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
12916,18,Private,HS-grad,9,Never-married,Sales,Other-relative,White,Male,0,0,25,United-States,0
11129,47,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,50,United-States,1
4364,43,Federal-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
10334,47,Local-gov,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,70,United-States,0
14232,20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,16,United-States,0
15617,31,?,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,30,Mexico,0
10743,37,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
12866,59,Private,Masters,14,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,0,0,35,Philippines,0
26745,42,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
21206,41,Local-gov,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,United-States,1
19730,40,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
2584,41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States,1
7324,26,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,48,United-States,0
25337,54,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
28135,32,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,1
32229,40,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,44,United-States,1
13678,70,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,0
19431,19,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
28848,55,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
21379,35,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,0
19755,32,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
10368,42,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
485,52,?,12th,8,Never-married,?,Other-relative,Black,Male,594,0,40,United-States,0
23651,55,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,55,United-States,0
15616,36,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
31120,28,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,0
31693,48,Private,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
6463,26,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,0
18398,32,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
17787,37,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,44,United-States,1
14138,19,Local-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0
9141,77,?,Masters,14,Married-civ-spouse,?,Husband,White,Male,9386,0,6,United-States,1
27788,37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
1552,17,Private,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,24,United-States,0
413,33,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0
5296,30,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5013,0,40,United-States,0
11935,34,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
2539,47,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,1
27122,41,Private,HS-grad,9,Divorced,Priv-house-serv,Other-relative,Black,Female,0,0,40,United-States,0
12312,36,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,1
13478,34,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,0
20079,48,Private,HS-grad,9,Widowed,Handlers-cleaners,Other-relative,White,Female,0,0,48,United-States,0
10281,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
1245,38,Local-gov,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,12,United-States,0
15045,36,Federal-gov,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,6497,0,56,United-States,0
24846,23,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
19068,19,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,25,United-States,0
12225,37,Local-gov,Masters,14,Married-civ-spouse,Protective-serv,Husband,White,Male,7688,0,50,United-States,1
17346,65,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
12534,50,Self-emp-not-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,99999,0,35,United-States,1
15901,22,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,10,United-States,0
25529,54,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,Jamaica,0
25081,35,Private,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
26932,28,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,0
21781,25,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
28449,30,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
31937,50,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1485,40,United-States,0
27704,25,Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,50,United-States,0
5942,37,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,30,United-States,1
31332,46,Local-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1887,50,United-States,1
31244,45,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,China,1
12281,24,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,20,?,0
21033,25,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,0
7040,21,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,53,United-States,0
4123,44,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
16213,26,?,Bachelors,13,Never-married,?,Unmarried,White,Female,0,0,10,United-States,0
5999,40,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,0
26789,33,Private,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
32305,30,Never-worked,HS-grad,9,Married-civ-spouse,?,Wife,Black,Female,0,0,40,United-States,0
30194,20,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
30490,36,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,35,United-States,0
16577,49,Self-emp-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,56,United-States,1
9844,25,Private,12th,8,Married-civ-spouse,Machine-op-inspct,Other-relative,Other,Male,0,0,40,Mexico,0
9000,20,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,48,United-States,0
26218,44,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
19461,31,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
28679,33,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,1
10446,28,Local-gov,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,65,United-States,1
31671,41,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,60,United-States,1
18311,18,Self-emp-not-inc,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
14974,24,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
18857,37,Private,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,0,65,United-States,0
8682,28,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10994,23,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
12857,57,Federal-gov,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
10360,32,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2829,0,40,United-States,0
13510,41,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
5889,64,Local-gov,9th,5,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,0
3580,21,?,Bachelors,13,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,0,0,25,?,0
30284,34,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,45,United-States,1
22287,53,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,0
22783,34,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Germany,1
6105,57,Private,10th,6,Widowed,Other-service,Unmarried,White,Female,0,0,40,United-States,0
19453,36,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
21155,22,Private,10th,6,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0
8550,29,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,0
17952,21,State-gov,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,0
21253,32,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Other-relative,White,Male,0,0,35,United-States,1
20354,41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
21836,88,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
9355,49,Private,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
3483,27,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,37,United-States,0
172,28,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
4909,44,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
31697,90,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,1
10952,38,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,1
31004,35,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,1887,50,Iran,1
15514,39,Federal-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
2753,53,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,50,Greece,1
13203,37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
28223,24,State-gov,Bachelors,13,Never-married,Adm-clerical,Other-relative,White,Female,0,0,10,United-States,0
28207,32,?,Assoc-acdm,12,Never-married,?,Own-child,White,Male,0,0,40,United-States,0
12187,40,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,5178,0,60,United-States,1
30146,65,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,0
15462,57,Local-gov,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,0
7733,43,Private,Prof-school,15,Separated,Tech-support,Not-in-family,White,Male,0,0,50,Columbia,1
28809,19,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,0
22584,23,Private,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,0,0,35,United-States,0
1560,21,Private,Some-college,10,Never-married,Other-service,Other-relative,Black,Female,0,0,8,United-States,0
20203,34,Self-emp-not-inc,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,25,United-States,0
18777,44,Private,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,1408,46,United-States,0
28238,20,Private,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,32,Mexico,0
28459,23,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,0
7791,33,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
17452,61,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,25,United-States,0
836,55,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
30498,39,Self-emp-not-inc,10th,6,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,1721,15,United-States,0
18644,33,Federal-gov,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
19272,31,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,60,United-States,0
7174,64,?,Preschool,1,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,0
14247,42,Self-emp-inc,1st-4th,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,?,0
29635,62,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,32,United-States,0
6756,24,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
11347,50,?,HS-grad,9,Married-civ-spouse,?,Husband,Black,Male,0,0,40,United-States,0
18959,52,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,0
27188,17,Private,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,0
23021,38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
13675,45,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
30391,46,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,45,United-States,0
13556,43,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,7688,0,50,United-States,1
21387,32,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
7054,49,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
13442,32,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
21086,27,Private,HS-grad,9,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,40,United-States,0
26235,27,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,1
29155,34,Private,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,50,United-States,1
24419,23,Private,Some-college,10,Never-married,Adm-clerical,Other-relative,Black,Male,0,0,22,United-States,0
4488,20,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,12,Canada,0
25329,31,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,85,United-States,0
1632,67,Local-gov,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,24,United-States,0
19885,24,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
3611,65,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,15,United-States,0
24054,48,?,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,20,United-States,0
30647,52,State-gov,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
22755,71,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2467,52,United-States,0
8324,47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
24902,19,Private,12th,8,Never-married,Other-service,Own-child,White,Male,0,1602,20,United-States,0
10441,19,?,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,40,United-States,0
4276,44,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
25288,51,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,1
30636,42,Private,10th,6,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,0
29964,34,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,40,United-States,0
12373,29,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Puerto-Rico,0
18304,60,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
16010,48,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2885,0,15,United-States,0
1977,23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
10504,43,Self-emp-not-inc,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,45,United-States,0
29007,67,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,20051,0,4,United-States,1
26551,31,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0
32392,55,Private,HS-grad,9,Separated,Protective-serv,Not-in-family,White,Male,0,0,81,United-States,0
13043,71,?,Some-college,10,Married-civ-spouse,?,Husband,White,Male,6514,0,40,United-States,1
21996,26,Private,5th-6th,3,Separated,Craft-repair,Not-in-family,Other,Male,0,0,35,Mexico,0
8645,42,Private,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,0
9613,55,Private,10th,6,Never-married,Other-service,Not-in-family,White,Male,0,0,29,United-States,0
15512,18,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,0
8333,58,Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
28440,49,State-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,0
25535,45,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,3103,0,42,United-States,0
22578,45,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0
30718,25,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
17345,38,Private,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Mexico,0
443,24,Federal-gov,HS-grad,9,Never-married,Armed-Forces,Own-child,White,Male,0,0,40,United-States,0
6958,47,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,1
22746,37,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,2105,0,50,United-States,0
28439,47,Federal-gov,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,0
5397,17,Private,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States,0
28198,40,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,55,Germany,1
12080,26,Private,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,0
18864,41,State-gov,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
18355,45,Private,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,45,United-States,0
27805,28,Private,HS-grad,9,Divorced,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,0
2982,22,Private,9th,5,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,30,United-States,0
22686,76,Local-gov,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,0
19717,38,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7298,0,50,United-States,1
353,33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
5126,20,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,0
20106,70,?,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,10,United-States,1
12926,22,Private,11th,7,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
3199,39,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,1
15877,42,State-gov,Bachelors,13,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,0
8655,30,Private,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,99,United-States,0
14191,69,Private,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,0
10041,18,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
3257,44,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,?,1
20766,55,Private,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
14986,50,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,0
30758,31,?,HS-grad,9,Never-married,?,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
201,26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,0
21867,35,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,60,United-States,1
14852,17,Self-emp-inc,9th,5,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
26511,34,Private,Assoc-acdm,12,Divorced,Adm-clerical,Own-child,White,Female,0,0,35,United-States,0
9971,43,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
24907,38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
9821,37,Local-gov,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Canada,1
28816,55,Local-gov,12th,8,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
1304,36,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
4519,61,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,1
17136,34,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,7688,0,50,Philippines,1
12628,62,?,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,0
21220,50,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
19350,37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
7878,24,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,0
3607,73,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,Canada,0
24169,49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,0
12097,49,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,Hong,0
13431,49,Private,12th,8,Never-married,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,0,0,35,United-States,0
492,46,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
26947,50,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,1
20055,24,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0
14888,58,?,11th,7,Married-civ-spouse,?,Husband,White,Male,0,0,16,United-States,0
1389,19,?,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,0
28407,66,Self-emp-not-inc,7th-8th,4,Widowed,Farming-fishing,Unmarried,White,Male,0,0,50,United-States,0
25652,29,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
10462,36,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,45,United-States,1
30969,28,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,55,United-States,0
29127,21,State-gov,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States,0
14261,21,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,0,18,United-States,0
769,47,Self-emp-not-inc,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,50,United-States,0
10075,35,Private,12th,8,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0
17047,56,Local-gov,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
4837,57,Federal-gov,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,48,United-States,1
20141,47,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,1
9869,36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,1
29746,52,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,45,United-States,0
14772,25,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
708,45,Private,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,0
20384,35,Private,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,0
29910,43,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,15,United-States,1
18960,47,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
32085,48,Private,9th,5,Widowed,Transport-moving,Unmarried,White,Male,0,0,40,United-States,1
678,32,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Mexico,0
25780,29,Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,50,United-States,0
29783,56,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,0
28297,61,Private,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,El-Salvador,0
14871,70,?,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,7,United-States,0
7551,39,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
31084,52,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,0
