,Job Title,Location,Company,Salary,No. of Reviews,Company Ratings,Job Summary
7041,Senior Electrical System Engineer (659310) - Security cleara...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"First-hand knowledge of electronics used for low voltage power generation and distribution, digital data processing, high speed serial data transmission,..."
7042,Senior Engineer - Space Systems (659108) - Security clearanc...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
7043,CWN - Senior Digital/FPGA Engineer (659195),"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
7044,Senior Engineer - Mechanical (658930) - Current Security Cle...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
7045,Senior Engineer - Signal & Image Processing/SSA Algorithm De...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,Mission data processing experience in Space Situational Awareness (SSA) / Space Control. Expertise in processing SSA raw data through actionable products...
7046,Project Engineer II - Electronic Systems Integration & Test...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
7047,Propulsion System Principal Engineer (658414) - Security cle...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
7048,Principal Component and Reliability Engineer - Space Avionic...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
7049,Engineer II - Spacecraft Electrical System Engineer (658953)...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"Subsystems include power management, command &amp; data handling, and harnessing. Our team of more than 3,000 engineers, scientists, technicians and support staff..."
7050,Senior Component Engineer - Space Avionics (659717) - Securi...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
7051,Principal Engineer - Signal & Image Processing/SSA Algorithm...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,Mission data processing experience in Space Situational Awareness (SSA) / Space Control. Expertise in processing SSA raw data through actionable products...
7052,Principal Engineer - Mechanical (659382) - Current Security...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
7053,Associate Engineer-Configuration Management (659086) - Secur...,"Boulder, CO",Ball Aerospace,None,35 reviews,43.2,Experience utilizing databases to manage technical and engineering data. Provide configuration and data management (C&amp;DM) support for multiple programs....
7054,DATA SCIENTIST,"Honolulu, HI",American Savings Bank - Hawaii,None,None,None,Provides data analytics in support of the company’s enterprise risk management program. Manages the model risk management framework and leads the model...
7055,None,"Honolulu, HI 96819 (Moanalua area)",Hawaiian Airlines,None,38 reviews,52.8,"Troubleshooting across data sources, each with millions of records. Assist with improving and automating data, and improve reporting,...."
7056,Data Scientist,"Honolulu, HI",Central Pacific Bank,None,11 reviews,42.6,"Strong analytical skills including analysis, data collection, process mapping and troubleshooting for root cause...."
7057,Research Analyst/Programmer I,"Honolulu, HI",Kaiser Permanente,None,"3,802 reviews",52.1,"Oversees data collection, tabulation, and integrity. Analyzes data to provide baseline numbers and estimates for project budgets...."
7058,Analyst Disaster Research USA-DSS,"Pearl Harbor, HI",Cubic Corporation,None,67 reviews,43.2,"Create reference data base of partner organizations, contacts, and specific initiatives. Three years experience advising leaders on approaches to research..."
7059,EIT Water Resources,"Honolulu, HI",HDR,None,122 reviews,51.0,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists...."
7060,Operations Research Systems Analyst,"Camp Smith, HI 96861 (Aiea area)",AMERICAN SYSTEMS,None,88 reviews,43.8,Primary responsibilities include decomposition of the project problem statement into test objectives and test measures as well as developing data source...
7061,Fishery Assessment Splst-Oahu,"Honolulu, HI",The Research Corporation of the University of Hawa...,None,None,None,"Collects scientific data on research cruises and from laboratory studies. Analyzes fishery statistics, data collected from biological and oceanographic surveys,..."
7062,Computer Digital Systems Technician,"Fort Shafter, HI",Bennett Aerospace Inc.,None,None,None,"The work will include documenting, testing, implementing, integrating, maintaining, researching, tracking, or modifying Automatic Data Processing objects on the..."
7063,Operation Research/ Data Analyst,"O‘ahu, HI","TAD PGS, Inc",None,11 reviews,42.6,"Conducts assessment survey data pulls as required. Operations Research/ Data Analyst for one of our clients in. TAD PGS, INC...."
7064,Operations Research Analyst -ORSA,"‘Aiea, HI",CleverSource,None,None,None,"Conducts assessment survey data pulls as required. Provides historical data analysis of command’ s operations, activities, actions (OAA)...."
7065,"Research Statistician IV - Downtown, Oahu","‘Aiea, HI 96701",Hawaii Department of Education,"<nobr>$4,088 a month</nobr>",10 reviews,52.1,(c) applying statistical methods to data collection or processing or in the establishment and operation of data collection systems;...
7066,Operations Research/Data Analyst (SOCPAC),"‘Aiea, HI",CSRA,None,56 reviews,42.0,"Provides historical data analysis of command’s operations, activities, actions (OAA) Creates assessment survey mechanisms Conducts assessment survey data pulls..."
7067,Marine Spatial Ecologist-Oahu,"Honolulu, HI",The Research Corporation of the University of Hawa...,None,None,None,Working knowledge of common and advanced statistical procedures used with geospatial data to develop methods and test results....
7068,Medical Technologist,"Honolulu, HI","Clinical Laboratories of Hawaii, LLP",None,2 reviews,60.0,"Uses data and logic to quickly find solutions to difficult challenges. The Medical Technologist (MT), also known as the Medical Laboratory Scientist (MLS),..."
7069,Medical Technologist/Medical Laboratory Technician,"‘Aiea, HI","Clinical Laboratories of Hawaii, LLP",None,2 reviews,60.0,"Uses data and logic to quickly find solutions to difficult challenges. Collects, evaluates, and reports quality management data in order to monitor and improve..."
7070,Medical Technologist/Medical Laboratory Technician Sr,"‘Ewa Beach, HI","Clinical Laboratories of Hawaii, LLP",None,2 reviews,60.0,"Uses data and logic to quickly find solutions to difficult challenges. Collects, evaluates, and reports quality management data in order to monitor and improve..."
7071,Environmental Engineer or Scientist,"Honolulu, HI",Arcadis:US,None,None,None,"Data compilation and analysis,. Business Title Environmental Engineer or Scientist. This position encompasses both office work (technical design, task..."
7072,Sr. Statistical Programmer,"Woodcliff Lake, NJ",Planet Pharma,None,None,None,"Assist in the review of key study-related documents produced by other functions, e.g. SAP, case report form, data management plan, database specifications, EDC..."
7073,Research Scientist,"Millburn, NJ",Ajulia Executive Search,None,None,None,"Prepare summary slides/memos/reports and present data to broader audiences. Interact with Manufacturing Process Teams, development scientists and molecule..."
7074,"Sr Scientist, QA/QC","East Hanover, NJ 07936",Novartis Pharmaceuticals,None,858 reviews,51.6,Validation of test results generated by other scientists. The Senior Scientist is responsible for the performance of a variety of routine and non-routine...
7075,Statistician/ Tech Writer,"Whippany, NJ",Johnson Service Group Inc,None,None,None,Analyzing data using basic statistics including:. Statistician/ Tech Writer....
7076,Clinical Molecular and Cytogeneticist Geneticist- Molecular...,"Elmwood Park, NJ","GeneDx, Inc",None,None,None,"Interpreting Genomics data join our clinical team. Scientists, genetic counselors and board certified directors to support our...."
7077,"Scientific Strategist, McCann Torre Lazur","Parsippany, NJ",Worldgroup Careers,None,None,None,"Must be able to analyze clinical data, interpret research, and scrutinize all sources for answers. We are looking for intelligent and imaginative scientists who..."
7078,Data Scientist,"New York, NY",RangTech,None,None,None,"Web analytics, Data mining techniques application for large data. Experience in data visualization and presentation...."
7079,Senior Operations Research Analyst,"Parsippany, NJ",Avis Budget Group,None,"1,371 reviews",43.2,"User interface, data models, data communications, production processes, performance, and business data integrity...."
7080,Formulations Scientist,"Parsippany, NJ",DSM,None,65 reviews,41.4,Analyzing results reported by customer and making use of data to make necessary adjustment to improve nutrient system....
7081,Principal Information Scientist,"Whippany, NJ",BAYER,None,"1,391 reviews",52.1,"The Primary Responsibilities of this role, Principal Information Scientist, are:. Global Retrieval and analysis services are requested by BHC scientists and..."
7082,"Senior Manager, Statistical Programming","Fort Lee, NJ 07024",Sunovion,None,None,None,"Write/Review data definition tables, data specs or related documents. Extensive experience in creating data tables, figures and listings...."
7083,ENVIRONMENTAL SUPERVISING ENGINEER (7+ Years of Experience),"Elmwood Park, NJ 07407",YU & Associates,None,None,None,"Collaborate with scientists, planners and experts; Analyze scientific data and perform quality – control checks;..."
7084,Clinical Analytics Senior Dire,"New York, NY 10010 (Gramercy area)",Aetna,None,"1,719 reviews",43.8,"Manages and builds a team of analysts and data scientists through leadership and mentoring, holding primary responsibility for the delivery of analytic projects..."
7085,"Extractables & Leachables - Technical Client Manager, Fairfi...","Fairfield, NJ",SGS,None,286 reviews,43.2,"Review technical data, documents, and proposals as required. 5 - 10 years experience working as a senior scientist in a lab environment...."
7086,"Clinical Research Scientist, Hematology/Oncology","Summit, NJ",Ivory Systems,None,None,None,Experience in performing review of clinical trial data in order to identify trends in safety or efficacy data;...
7087,Senior Proposal Specialist,"Secaucus, NJ 07094","Frontage Laboratories, LLC",None,None,None,"Clinical operations, Bioanalytical and Clinical laboratories, Statistics, Data Management, and Logistics companies...."
7088,Lead Data Scientist,"New York, NY 10010 (Gramercy area)",Aetna,None,"1,719 reviews",43.8,We are currently looking for an exceptional Data Scientist to play a pivotal role in the creation and deployment of population health products....
7089,Molecular Pathologist- Molecular Oncology,"Elmwood Park, NJ 07407","Bio-Reference Laboratories, Inc.",None,38 reviews,43.8,We are looking for a highly motivated individual with experience analyzing and interpreting Genomics data join our clinical team....
7090,Senior Data Scientist for Fortune 500 Company,"Union, NJ",Averity,"<nobr>$95,000 - $120,000 a year</nobr>",None,None,"As a Data Scientist, you will be proficient in SAS and SQL and will utilize your big data and predictive modeling skills to analyze and interpret massive..."
7091,Tech Svc Scientist (I),"Leonia, NJ",NBTY,None,130 reviews,42.0,"Performs comprehensive, sophisticated and critical evaluation of own data. Strong laboratory and experimental skills, data analysis and written and verbal..."
7092,Food Scientist,"East Hanover, NJ 07936","PSI-ProTech Solutions, Inc.",None,None,None,The Food Scientist position is focused on Product Development. Synthesize technical information by collecting data and preparing reports that will be utilized...
7093,Clinical Molecular\Cytogeneticist Geneticist- Molecular Onco...,"Elmwood Park, NJ 07407","Bio-Reference Laboratories, Inc.",None,38 reviews,43.8,We are looking for a highly motivated individual with experience analyzing and interpreting Genomics data join our clinical team....
7094,Sterilization Program Manager,"Franklin Lakes, NJ 07417",Becton Dickinson & Company,None,475 reviews,51.6,Train and mentor junior sterilization scientists. Generate data that significantly influences the global sterilization strategy and tactics that ensure long...
7095,Data Integration Specialist,"Roseland, NJ 07068",ADP,None,"1,660 reviews",44.4,Performs data mining and data analysis to help identify health compliance data integrity root causes. Develops data visualizations and data reports to show...
7096,"Sr. Manager, Statistical Programming - PERM - 99844","Fort Lee, NJ",inVentiv Health Clinical,None,52 reviews,43.8,"Review protocol and SAP, write/review analysis data specifications, etc. Interact with Statisticians, Clinical Data Programmers, Data Managers, Clinical..."
7097,Market Research Analyst,"Montclair, NJ",Montclair State University,None,93 reviews,52.8,"Attention to detail in analyzing and evaluating data and information. Excellent written and verbal communication skills required, along with ability to..."
7098,"Senior Chemist, Wood Protection","Florham Park, NJ 07932",Troy Corporation,None,None,None,Collaborates with other Troy scientists to execute multidisciplinary projects leading to new or improved products and processes....
7099,Senior Consumer Scientist - NA,"Whippany, NJ",Mondelez International,None,644 reviews,43.8,Linking consumer and sensory data into a cohesive story. Ability to discern data confused or hidden by extraneous information....
7100,Office Administrator,"Fairfield, NJ",Vela Diagnostics,None,None,None,"With innovative test and data reporting solutions for real-time PCR and Next-Generation Sequencing, Vela Diagnostics delivers innovative technology and products..."
7101,None,"Elmwood Park, NJ","GeneDx, Inc",None,None,None,"Reviewing patient medical history, performing review of genomic data and helping maintain the active knowledgebase for variant interpretation...."
7102,Director - Innovation Lab Data Scientist,"New York, NY 10002 (Lower East Side area)",S&P Global Ratings,None,3 reviews,40.8,"Exposure to one or more data discovery, data visualization tools. Developing predictive algorithms based on historical data...."
7103,VP Chief Data Officer,"Roseland, NJ 07068",ADP,None,"1,660 reviews",44.4,"Collaborate with the Chief Privacy Officer to define standards for regulatory compliance, data policy, data security and data retention...."
7104,Senior Quantitative Analyst,"New York, NY 10002 (Lower East Side area)",S&P GLOBAL MARKET INTELLIGENCE,None,20 reviews,43.2,Validate whether the portfolio data is reasonable given the established business rules and given the client’s historical data profile....
7105,Image Analysis Scientist,"Fairfield, NJ 07004",Canfield Scientific,None,2 reviews,51.0,"Collaborate with Canfield’s image analysis research team in developing and optimizing algorithms for commercialization in the detection, analysis, and grading"
7106,Statistical Programmer III,"East Hanover, NJ",Aequor Technologies,None,5 reviews,40.2,"This role is 100% on-site in East Hanover, no work from home arrangements will be made. Responsibilities Coordinate programming activities across several"
7107,Sponsored Research Engineer - Davidson,"Hoboken, NJ 07030",Stevens Institute of Technology,None,103 reviews,54.0,The researcher will be responsible for working with other scientists and graduate students to accomplish this work and to prepare findings for publication(s) in...
7108,Senior Statistician *NEW JERSEY,"Newark, NJ",Barrington James,None,3 reviews,51.0,"The Senior Biostatistician will have several years of experience working as a Biostatistician developing clinical study protocols, writing Statistical Analysis..."
7109,Field Service Engineer,"Mahwah, NJ","Beckman Coulter, Inc.",None,245 reviews,42.6,Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs....
7110,Analytical Scientist,"Parsippany, NJ","Integrated Resources, Inc",None,None,None,"Working knowledge of both computer and/or data handling acquisition systems is necessary and required. Working with some supervision, applies established..."
7111,Data Scientist,"Basking Ridge, NJ 07920",Verizon,None,"11,129 reviews",44.4,Three or more years of Hands-on experience with SQL and extracting and manipulating data from RDBMS and data warehouse....
7112,REMOTE Principal Statistician,"Somerset, NJ 08873",ITvorks,<nobr>$90 an hour</nobr>,None,None,"Prepare and review key portions of the integrated clinical/statistical report, including sections related to data handling and statistical methodology, patient..."
7113,Sensory Scientist / Project Manager,"New Providence, NJ 07974",Sensory Spectrum Inc.,None,None,None,"Interface with data management to align data needs within project needs and develop reports which include explanation of methodology, results with graphing and..."
7114,Data Scientist - Business Transformation,"Basking Ridge, NJ 07920",Verizon,None,"11,129 reviews",44.4,Collaborates with business to define the data acquisition and data storage strategy through the future state BT infrastructure....
7115,Data Analytics Researcher,"Basking Ridge, NJ 07920",Applied Communication Sciences,None,None,None,"You will work as part of a small team to conceive and conduct in-depth research on topics in machine learning, scalable mathematical data manipulation..."
7116,Statistical Programmer,"Bound Brook, NJ",DZS Clinical Services,None,None,None,"Generate summary tables and data listings, produce graphs, and process lab data, as. The Statistical Programmer will be an integral member of a group of..."
7117,Clinical Scientist- Oncology,"Summit, NJ",InVentiv Health Clinical,None,52 reviews,43.8,Clinical Data Review:. Experience in performing review of clinical trial data in order to identify trends in safety or efficacy data;...
7118,Statistician,"Berkeley Heights, NJ",Aequor Technologies,None,None,None,Analyze clinical trial data; Provide ad hoc data driven analyses. Typical Daily Work schedule (start/end times) = start/end times flexible as long core hours...
7119,"Senior Analyst, Market & Competitive Research","Madison, NJ",Realogy Corporate,None,42 reviews,43.2,"Ability to analyze large amounts of data, identify trends, and synthesize findings into meaningful conclusions. Realogy Holdings Corp...."
7120,SAS Statistician - Biostats Team,"Berkeley Heights, NJ 07922",Starpoint Solutions,None,14 reviews,42.6,"Work closely with different departments in the company (regulatory, clinical, marketing, data management, health economics, etc.)...."
7121,Clinical Research and Development Specialist,"Summit, NJ",Aequor Technologies,None,5 reviews,40.2,"Clinical Research Scientist, Hematology/Oncology. Experience in performing review of clinical trial data in order to identify trends in safety or efficacy data;..."
7122,Clinical Scientist,"Summit, NJ",Navitas Inc,None,None,None,"Clinical Scientist / Research Scientist:. Proficient at data interpretation. Safety, primary efficacy variables, and laboratory data...."
7123,Senior Data Scientist,"Basking Ridge, NJ 07920",Verizon,None,"11,129 reviews",44.4,"As our data scientist, candidates will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced..."
7124,Pharmaceutical Research Analyst,"Raritan, NJ",MARKET ACCESS SOLUTIONS LLC,"<nobr>$72,450 a year</nobr>",None,None,"MARKET ACCESS SOLUTIONS LLC seeks Pharmaceutical Research Analyst in Raritan, New Jersey to cndct rsrch involng rvw of scntfc jrnls &amp; lit, cmpttv lndscp, &amp;"
7125,Statistical Programmer,"Bridgewater, NJ",Oasis Technology Inc,None,None,None,"Understands the sequence of running programs to ensure up-to-date data and to troubleshoot, debug programming problems and to identify data trends...."
7126,Manager Analitycal Research & Development,"Bridgewater, NJ",Vertice Pharma,None,None,None,Conducts and monitors studies to ensure data accuracy and report quality. Independently manages a group of skilled scientists and chemists in a very aggressive...
7127,Research Scientist,"Basking Ridge, NJ 07920",Applied Communication Sciences,None,None,None,"From smart grid to smart phones, intelligent highways to intelligent battlefields, Vencore Labs’ 200 scientists, engineers and analysts are consistently..."
7128,"Data Analysis Lead, Cardiovascular(SAS Statistical Programmi...","Raritan, NJ","Janssen Research & Development, LLC.",None,None,None,External partners on data analysis related deliverables for co-development. Detection of issues impacting Data Analysis deliverables for a program....
7129,Senior Research Engineer-Cell Culture Process Development,"Branchburg, NJ",Eli Lilly,None,603 reviews,52.1,General knowledge and understanding of challenges associated with scale-up and technology transfer of upstream processes as well as the use of statistical tools...
7130,Big Data Technical Intern I,"Bedminster, NJ",AT&T,None,"14,313 reviews",44.4,"As a data scientist or data engineer, you’ll use your talent for breaking down business problems into data-driven analyses that guide improvements in customer..."
7131,"Senior Data Scientist, IKU","Summit, NJ 07901",Celgene Corporation,None,91 reviews,51.6,"S/he will be experienced working in environments demanding diverse data sources, such as clinical trial data, electronic health record data, insurance claims..."
7132,None,"Raritan, NJ","Janssen Research & Development, LLC.",None,None,None,"Perform and/or liaise for modeling and simulation analysis of preclinical-clinical data, translational PK/PD data, up to first-in-human (FIH) and if applicable..."
7133,Senior Data Scientist,"Bridgewater, NJ",Cognizant,None,"4,726 reviews",51.0,The Senior Data Scientist will also explore. The Senior Data Scientist will apply their knowledge of advanced....
7134,Principal Data Scientist - Supply Chain,"Basking Ridge, NJ 07920",Verizon,None,"11,129 reviews",44.4,Principal Data Scientist is part of a leading-edge predictive and prescriptive analytics team responsible for....
7135,Analytics Development Lead,"Morris Plains, NJ 07950",Honeywell,None,"3,482 reviews",44.4,"Lead developer functions on Big Data projects in cloud storage management activities, data ingestion, data management (scripts, modeling), data extraction and...."
7136,None,"Kenilworth, NJ",Merck,None,"1,230 reviews",51.6,"Scientist, Post Doc Fellow. Establish baseline cellular profiling through mining of historical cell culture performance data and accumulated transcriptomics and..."
7137,"Senior Scientist I, Analytical Research & Development","North Brunswick, NJ",Merial,None,28 reviews,51.6,"Senior Scientist I, Analytical Research &amp; Development-POS_70034436-1. Functions as in-house consultant for areas of technical expertise and provide technical..."
7138,Statistician,"Berkeley Heights, NJ 07922",Aequor Technologies Inc,None,5 reviews,40.2,""" Analyze clinical trial data; "" Provide ad hoc data driven analyses. Typical Daily Work schedule (start/end times) = start/end times flexible as long core..."
7139,Senior Statistician,"Raritan, NJ","Janssen Research & Development, LLC.",None,None,None,"Practices for Data Integrity. Interpretation, design, and reporting or communication of data evidence for. Janssen Research &amp; Development, LLC, a Johnson and..."
7140,None,"Morristown, NJ",Mott MacDonald,None,81 reviews,51.0,Processes the data following well-defined methods; Extracts engineering data from various prescribed sources;...
7141,Statistician - Partial REMOTE - 100795,"Township of Warren, NJ",inVentiv Health Clinical,None,52 reviews,43.8,"Statistician - Submission Studies Warren, NJ Work from home allowed 2 days a week Major Statistical Duties and Responsibilities * Provide scientific"
7142,Data Manager,"Berkeley Heights, NJ",Ivory Systems,None,None,None,"Develop or lead in the review of a Data Management Plan (DMP), when applicable, that outlines database design and testing, CRF flow, data queries, manual checks..."
7143,Statistical Pairs Trading and Convergence Position,"Westfield, NJ",T3 Trading Group LLC,None,4 reviews,51.0,Statistical Pairs Trading and Convergence Position We are currently hiring proprietary traders for our selective Pairs Trading Group. The pair trade or pairs
7144,None,"Kenilworth, NJ",Merck,None,"1,230 reviews",51.6,"Experience in multi-color flow cytometry assay development and innovation, including data analysis and interpretation...."
7145,Junior Research Scientist,"Basking Ridge, NJ 07920",Applied Communication Sciences,None,None,None,"From smart grid to smart phones, intelligent highways to intelligent battlefields, Vencore Labs’ 200 scientists, engineers and analysts are consistently..."
7146,Clinical Project Scientist,"Somerville, NJ",CollabInfotech,None,None,None,"Clinical Project Scientist*. We have an immediate position for a “ *Clinical Project Scientist*. ” with our top pharmaceutical client, if you are interested..."
7147,Principal Statistical Programmer,"Florham Park, NJ 07932",Shionogi Inc,None,16 reviews,44.4,Support data management by generating data listings. Extensive experience of data integration. Experience in the creation of CDISC SDTM and AdaM models by...
7148,Economics Outcomes (HEOR) Statistician (5805207),"Bridgewater, NJ",BioPoint,None,None,None,"Prepare, verify, and manage research data sets from administrative health insurance claims, electronic medical record databases, randomized clinical trials, or..."
7149,SAS Platform Senior Architect,"Berkeley Heights, NJ 07922",AIG,None,893 reviews,43.8,"Support data scientists with SAS related issues and debug issues. 10+ years of experience with relational database, data modeling, business intelligence..."
7150,Analytical Chemist,"Summit, NJ 07901",Aequor Technologies Inc,None,5 reviews,40.2,"Contribute data for preparation of development, validation and technology transfer reports. Assist senior scientist to carry out methods development,..."
7151,Sr. Staff Engineer - Data Analytics/Machine Learning,"Bridgewater, NJ",Huawei,None,228 reviews,43.2,"Staff/Staff Engineer - Data Analytics/Machine Learning. Prototyping and validation using statistical and data mining tools, and big data processing platform..."
7152,Data Analytics Scientist,"Basking Ridge, NJ","delane Consulting/Talent Management, LLC",None,None,None,"Advanced Data Analytics Scientist*. As Wikipedia states, “Data Scientist have the ability to find and interpret rich data sources, manage large amounts of data..."
7153,"Scientist II, Analytical Development - Biologics","Summit, NJ 07901",Celgene Corporation,None,91 reviews,51.6,Generate laboratory clinical release and stability data. Review and approve analytical data from development partners....
7154,Clinical Project Scientist,"Somerville, NJ",Collab Infotech,None,None,None,Clinical Project Scientist*. We have an immediate position for a *Clinical Project Scientist*. With our direct client *(Top Pharmaceutical Company)*....
7155,Immuno-Oncology Principal Research Scientist-Clinical,"Bridgewater, NJ",Eli Lilly,None,603 reviews,52.1,Assist Lilly scientists with target identification and validation efforts guided toward development of new oncology therapeutics....
7156,Analytics Product Manager,"Morris Plains, NJ 07950",Honeywell,None,"3,482 reviews",44.4,"Work with data scientists to provide data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs...."
7157,Senior Scientist - Analytical R&D,"Bridgewater, NJ","Kashiv Pharma, LLC.",None,None,None,"Analyze analytical data, identify trends and provide recommendation. Review laboratory notebooks, raw data and technical documentation (e.g...."
7158,Research Scientist - Analytical / Inhalation,"Bridgewater, NJ 08807",Insmed Incorporated,None,2 reviews,42.0,"Knowledge of statistics, data processing and documentation is also desired. The Research Scientist - Research Scientist - Analytical / Inhalation will be..."
7159,"Sr. Scientist, NMR Spectroscopist Job","Kenilworth, NJ",Merck,None,"1,230 reviews",51.6,"Scientist, NMR Spectroscopist-CHE004859. You will interact with world-class scientists in a professional work environment at our state-of-the-art research..."
7160,Clinical Project Scientist,"Somerville, NJ",Abacus service,None,2 reviews,51.0,"OVERALL RESPONSIBILITIES: On behalf of the Medical Device Group, this clinical research professional will contribute to the development of clinical evidence"
7161,Senior Clinical Research Scientist,"Summit, NJ 07901",Celgene,None,91 reviews,51.6,"Safety, primary efficacy variables, laboratory data. Assist with review of ongoing summary data including:...."
7162,"Scientist with HPLC, cGLP/GMP","Berkeley Heights, NJ",Navitas,None,7 reviews,40.8,"Contribute data for preparation of development, validation and technology transfer reports. Assist senior scientist to carry out methods development,..."
7163,Principal Biostatistician,"East Hanover, NJ 07936",Novartis Pharmaceuticals,None,858 reviews,51.6,Deep knowledge of data architecture 6. They are responsible for the statistical operational aspects of multiple trials which include developing and executing...
7164,"consultant( Java, Salesforce,.Net,Tableau, data analysis)","Piscataway, NJ",Pozent Corporation,None,None,None,"Pozent has continuous job openings in various technical fields, like Java, Salesforce, .Net, Tableau, Data analysis...."
7165,Pharmaceutical Scientific Consultant,"Morristown, NJ 07960",ISS,None,None,None,Proficient and comfortable with scientific/medical data and nomenclature. Passion for producing and presenting scientific data in oral presentations or written...
7166,Senior Research Scientist-Product Performance Evaluation,"Clark, NJ 07066",L'Oreal USA,None,127 reviews,43.8,"With consumers, sensory/consumer scientists, formulators, and Global. As a Senior Research Scientist within the Product...."
7167,Statistician (phase I),"Bridgewater, NJ",inVentiv Health Clinical,None,52 reviews,43.8,"The work include mainly performing data review and statistical analysis, contributing to the statistical components of clinical study reports, participating in..."
7168,Scientist 1,"Raritan, NJ",Abacus service,None,2 reviews,51.0,He/She will perform data entry of critical product/process information and test results to be used in trend analysis....
7169,Senior Inventive Scientist (Labs Big Data Research),"Bedminster, NJ 07921",AT&T,None,"14,313 reviews",44.4,Data Scientists will usually have a Master’s; Qualified candidates may be asked to submit a Research Statement (required for Inventive Scientist applicants) and...
7170,Scientist I/II - Analytical R&D,"Bridgewater, NJ","Kashiv Pharma, LLC.",None,None,None,"Analyze analytical data, identify trends and provide recommendations. Review laboratory notebooks, raw data and technical documentation (e.g...."
7171,Clinical Research Scientist JO#100691,"Summit, NJ",inVentiv Health Clinical,None,52 reviews,43.8,- Clinical Research Scientist assists the Clinical Research Teams in the development and analysis of safety data trends and events of special interest....
7172,Data Scientist,"Raritan, NJ",Pozent Corporation,None,None,None,Big data preferably Cloudera Hadoop experience. PhD or Masters in Data Science from recognized university is required....
7173,None,"Kenilworth, NJ",Merck,None,"1,230 reviews",51.6,"Support the design and development of nanoparticle and extended release formulations through experimental design, planning, execution and data interpretation...."
7174,Laboratory Technologist I,"North Brunswick Township, NJ",Celmatix,None,None,None,Our unique approach combines data science and genomics on a proprietary platform that is bringing precision medicine to fertility....
7175,Data Analytics Engineer,"West Melbourne, FL",GE Transportation,None,114 reviews,51.0,"Primary role in recent positions must be as a Lead Data / Big Data Engineer. Bachelor's Degree in Computer Science, Information Technology or equivalent (STEM)..."
7176,Research Analyst,"Cocoa, FL",Eastern Florida State College,"<nobr>$40,000 a year</nobr>",13 reviews,44.4,"Ability to develop queries that access data. Ability to access, input, and retrieve information and/or data from a computer...."
7177,Associate Scientist - Diagnostics Lab Ops,"Palm Bay, FL",MRIGlobal,None,None,None,Maintain laboratory notebook and prepare raw data for submission to supervisor. MRIGlobal currently has an exciting opportunity for an Associate Scientist in...
7178,Operations Center Systems Administrator,"Melbourne, FL 32935",Harris Corporation,None,239 reviews,43.2,"Data communications (satellite, modems, etc.). Transmit user-critical/time-sensitive data to the customer sites...."
7179,Security Operations Analyst,"Melbourne, FL 32935",Harris Corporation,None,239 reviews,43.2,"Headquartered in Melbourne, Florida, the company has approximately $8 billion of annual revenue and about 23,000 employees — including 9,000 engineers and..."
7180,Program Management 6,"Melbourne, FL 32935",Harris Corporation,None,239 reviews,43.2,"Network Tools and implementation data sources (MR TOOL, AutoCAD, Metasolv, FINS/OSS, Business Objects, PDM, ClearQuest, SSMT, and PITS)...."
7181,"Data Scientist, Senior","Cocoa Beach, FL",Booz Allen Hamilton,None,946 reviews,44.4,"Analyze large data sets and create tailored, repeatable, and scalable approaches for data science processes that range from data preparation to follow-up..."
7182,Mechanical Engineer Intern,"Palm Bay, FL 32905",Harris Corporation,None,239 reviews,43.2,"Familiarity with transducer instrumentation, data collection and or automation and software programming for numerical analysis...."
7183,Director of Research with Security Clearance,"Melbourne, FL 32901",Modus Operandi Inc,None,None,None,"Position Description The Director of Research at Modus Operandi is a dynamic person able to lead the team of semantic researchers, data scientists and software..."
